"","clust","year","collection_date","month","species","trap_nights","total_mosquitoes","mos_per_trap_night"
"26",1,2010,"2010-09-19",9,"Cx. quinquefasciatus",3,10,3.33333333333333
"27",1,2010,"2010-09-26",9,"Cx. quinquefasciatus",3,27,9
"28",1,2010,"2010-10-03",10,"Cx. quinquefasciatus",3,95,31.6666666666667
"29",1,2010,"2010-10-10",10,"Cx. quinquefasciatus",3,42,14
"30",1,2010,"2010-10-17",10,"Cx. quinquefasciatus",3,47,15.6666666666667
"31",1,2010,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"32",1,2010,NA,NA,"Cx. quinquefasciatus",NA,0,0
"33",1,2011,"2011-04-10",4,"Cx. quinquefasciatus",3,1,0.333333333333333
"34",1,2011,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"35",1,2011,"2011-04-24",4,"Cx. quinquefasciatus",3,0,0
"36",1,2011,"2011-05-01",5,"Cx. quinquefasciatus",3,1,0.333333333333333
"37",1,2011,"2011-05-08",5,"Cx. quinquefasciatus",3,0,0
"38",1,2011,"2011-05-15",5,"Cx. quinquefasciatus",3,0,0
"39",1,2011,"2011-05-22",5,"Cx. quinquefasciatus",3,0,0
"40",1,2011,"2011-05-29",5,"Cx. quinquefasciatus",3,0,0
"41",1,2011,"2011-06-05",6,"Cx. quinquefasciatus",3,1,0.333333333333333
"42",1,2011,"2011-06-12",6,"Cx. quinquefasciatus",3,2,0.666666666666667
"43",1,2011,"2011-06-19",6,"Cx. quinquefasciatus",3,6,2
"44",1,2011,"2011-06-26",6,"Cx. quinquefasciatus",3,14,4.66666666666667
"45",1,2011,"2011-07-03",7,"Cx. quinquefasciatus",3,20,6.66666666666667
"46",1,2011,"2011-07-10",7,"Cx. quinquefasciatus",3,23,7.66666666666667
"47",1,2011,"2011-07-17",7,"Cx. quinquefasciatus",3,27,9
"48",1,2011,"2011-07-24",7,"Cx. quinquefasciatus",3,63,21
"49",1,2011,"2011-07-31",7,"Cx. quinquefasciatus",3,80,26.6666666666667
"50",1,2011,"2011-08-07",8,"Cx. quinquefasciatus",3,204,68
"51",1,2011,"2011-08-14",8,"Cx. quinquefasciatus",3,102,34
"52",1,2011,"2011-08-21",8,"Cx. quinquefasciatus",3,52,17.3333333333333
"53",1,2011,"2011-08-28",8,"Cx. quinquefasciatus",3,50,16.6666666666667
"54",1,2011,"2011-09-04",9,"Cx. quinquefasciatus",3,40,13.3333333333333
"55",1,2011,"2011-09-11",9,"Cx. quinquefasciatus",3,100,33.3333333333333
"56",1,2011,"2011-09-18",9,"Cx. quinquefasciatus",3,56,18.6666666666667
"57",1,2011,"2011-09-25",9,"Cx. quinquefasciatus",3,55,18.3333333333333
"58",1,2011,"2011-10-02",10,"Cx. quinquefasciatus",3,68,22.6666666666667
"59",1,2011,"2011-10-09",10,"Cx. quinquefasciatus",3,41,13.6666666666667
"60",1,2011,"2011-10-16",10,"Cx. quinquefasciatus",3,49,16.3333333333333
"61",1,2011,"2011-10-23",10,"Cx. quinquefasciatus",3,32,10.6666666666667
"62",1,2011,NA,NA,"Cx. quinquefasciatus",NA,0,0
"63",1,2012,"2012-04-08",4,"Cx. quinquefasciatus",3,0,0
"64",1,2012,"2012-04-15",4,"Cx. quinquefasciatus",3,0,0
"65",1,2012,"2012-04-22",4,"Cx. quinquefasciatus",3,0,0
"66",1,2012,"2012-04-29",4,"Cx. quinquefasciatus",3,0,0
"67",1,2012,"2012-05-06",5,"Cx. quinquefasciatus",3,0,0
"68",1,2012,"2012-05-13",5,"Cx. quinquefasciatus",3,0,0
"69",1,2012,"2012-05-20",5,"Cx. quinquefasciatus",3,1,0.333333333333333
"70",1,2012,"2012-05-27",5,"Cx. quinquefasciatus",3,0,0
"71",1,2012,"2012-06-03",6,"Cx. quinquefasciatus",3,0,0
"72",1,2012,"2012-06-10",6,"Cx. quinquefasciatus",3,5,1.66666666666667
"73",1,2012,"2012-06-17",6,"Cx. quinquefasciatus",3,8,2.66666666666667
"74",1,2012,"2012-06-24",6,"Cx. quinquefasciatus",3,17,5.66666666666667
"75",1,2012,"2012-07-01",7,"Cx. quinquefasciatus",3,29,9.66666666666667
"76",1,2012,"2012-07-08",7,"Cx. quinquefasciatus",3,47,15.6666666666667
"77",1,2012,"2012-07-15",7,"Cx. quinquefasciatus",3,61,20.3333333333333
"78",1,2012,"2012-07-22",7,"Cx. quinquefasciatus",3,70,23.3333333333333
"79",1,2012,"2012-07-29",7,"Cx. quinquefasciatus",3,83,27.6666666666667
"80",1,2012,"2012-08-05",8,"Cx. quinquefasciatus",3,286,95.3333333333333
"81",1,2012,"2012-08-12",8,"Cx. quinquefasciatus",3,66,22
"82",1,2012,"2012-08-19",8,"Cx. quinquefasciatus",3,58,19.3333333333333
"83",1,2012,"2012-08-26",8,"Cx. quinquefasciatus",3,44,14.6666666666667
"84",1,2012,"2012-09-02",9,"Cx. quinquefasciatus",3,51,17
"85",1,2012,"2012-09-09",9,"Cx. quinquefasciatus",3,67,22.3333333333333
"86",1,2012,"2012-09-16",9,"Cx. quinquefasciatus",3,34,11.3333333333333
"87",1,2012,"2012-09-23",9,"Cx. quinquefasciatus",3,20,6.66666666666667
"88",1,2012,"2012-09-30",9,"Cx. quinquefasciatus",3,4,1.33333333333333
"89",1,2012,"2012-10-07",10,"Cx. quinquefasciatus",3,4,1.33333333333333
"90",1,2012,"2012-10-14",10,"Cx. quinquefasciatus",3,26,8.66666666666667
"91",1,2012,"2012-10-21",10,"Cx. quinquefasciatus",3,0,0
"92",1,2012,"2012-10-28",10,"Cx. quinquefasciatus",3,1,0.333333333333333
"93",1,2013,"2013-04-07",4,"Cx. quinquefasciatus",3,0,0
"94",1,2013,"2013-04-14",4,"Cx. quinquefasciatus",3,0,0
"95",1,2013,"2013-04-21",4,"Cx. quinquefasciatus",3,0,0
"96",1,2013,"2013-04-28",4,"Cx. quinquefasciatus",3,0,0
"97",1,2013,"2013-05-05",5,"Cx. quinquefasciatus",3,0,0
"98",1,2013,"2013-05-12",5,"Cx. quinquefasciatus",3,0,0
"99",1,2013,"2013-05-19",5,"Cx. quinquefasciatus",3,0,0
"100",1,2013,"2013-05-26",5,"Cx. quinquefasciatus",3,5,1.66666666666667
"101",1,2013,"2013-06-02",6,"Cx. quinquefasciatus",3,0,0
"102",1,2013,"2013-06-09",6,"Cx. quinquefasciatus",3,4,1.33333333333333
"103",1,2013,"2013-06-16",6,"Cx. quinquefasciatus",3,29,9.66666666666667
"104",1,2013,"2013-06-23",6,"Cx. quinquefasciatus",3,181,60.3333333333333
"105",1,2013,"2013-06-30",6,"Cx. quinquefasciatus",6,171,28.5
"106",1,2013,"2013-07-07",7,"Cx. quinquefasciatus",3,177,59
"107",1,2013,"2013-07-14",7,"Cx. quinquefasciatus",3,220,73.3333333333333
"108",1,2013,"2013-07-21",7,"Cx. quinquefasciatus",3,87,29
"109",1,2013,"2013-07-28",7,"Cx. quinquefasciatus",3,73,24.3333333333333
"110",1,2013,"2013-08-04",8,"Cx. quinquefasciatus",3,10,3.33333333333333
"111",1,2013,"2013-08-11",8,"Cx. quinquefasciatus",3,9,3
"112",1,2013,"2013-08-18",8,"Cx. quinquefasciatus",3,35,11.6666666666667
"113",1,2013,"2013-08-25",8,"Cx. quinquefasciatus",3,19,6.33333333333333
"114",1,2013,"2013-09-01",9,"Cx. quinquefasciatus",3,43,14.3333333333333
"115",1,2013,"2013-09-08",9,"Cx. quinquefasciatus",3,13,4.33333333333333
"116",1,2013,"2013-09-15",9,"Cx. quinquefasciatus",3,13,4.33333333333333
"117",1,2013,"2013-09-22",9,"Cx. quinquefasciatus",3,6,2
"118",1,2013,"2013-09-29",9,"Cx. quinquefasciatus",3,15,5
"119",1,2013,"2013-10-06",10,"Cx. quinquefasciatus",3,4,1.33333333333333
"120",1,2013,"2013-10-13",10,"Cx. quinquefasciatus",3,4,1.33333333333333
"121",1,2013,"2013-10-20",10,"Cx. quinquefasciatus",3,7,2.33333333333333
"122",1,2013,"2013-10-27",10,"Cx. quinquefasciatus",3,0,0
"123",1,2013,"2013-11-03",11,"Cx. quinquefasciatus",3,3,1
"124",1,2014,"2014-04-13",4,"Cx. quinquefasciatus",3,0,0
"125",1,2014,"2014-04-20",4,"Cx. quinquefasciatus",3,0,0
"126",1,2014,"2014-04-27",4,"Cx. quinquefasciatus",3,0,0
"127",1,2014,"2014-05-04",5,"Cx. quinquefasciatus",3,0,0
"128",1,2014,"2014-05-11",5,"Cx. quinquefasciatus",3,0,0
"129",1,2014,"2014-05-18",5,"Cx. quinquefasciatus",3,1,0.333333333333333
"130",1,2014,"2014-05-25",5,"Cx. quinquefasciatus",3,0,0
"131",1,2014,"2014-06-01",6,"Cx. quinquefasciatus",3,7,2.33333333333333
"132",1,2014,"2014-06-08",6,"Cx. quinquefasciatus",3,6,2
"133",1,2014,"2014-06-15",6,"Cx. quinquefasciatus",3,7,2.33333333333333
"134",1,2014,"2014-06-22",6,"Cx. quinquefasciatus",3,26,8.66666666666667
"135",1,2014,"2014-06-29",6,"Cx. quinquefasciatus",3,68,22.6666666666667
"136",1,2014,"2014-07-06",7,"Cx. quinquefasciatus",3,120,40
"137",1,2014,"2014-07-13",7,"Cx. quinquefasciatus",3,112,37.3333333333333
"138",1,2014,"2014-07-20",7,"Cx. quinquefasciatus",3,124,41.3333333333333
"139",1,2014,"2014-07-27",7,"Cx. quinquefasciatus",3,92,30.6666666666667
"140",1,2014,"2014-08-03",8,"Cx. quinquefasciatus",3,112,37.3333333333333
"141",1,2014,"2014-08-10",8,"Cx. quinquefasciatus",3,0,0
"142",1,2014,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"143",1,2014,"2014-08-24",8,"Cx. quinquefasciatus",3,0,0
"144",1,2014,"2014-08-31",8,"Cx. quinquefasciatus",3,7,2.33333333333333
"145",1,2014,"2014-09-07",9,"Cx. quinquefasciatus",3,0,0
"146",1,2014,"2014-09-14",9,"Cx. quinquefasciatus",3,13,4.33333333333333
"147",1,2014,"2014-09-21",9,"Cx. quinquefasciatus",3,14,4.66666666666667
"148",1,2014,"2014-09-28",9,"Cx. quinquefasciatus",3,3,1
"149",1,2014,"2014-10-05",10,"Cx. quinquefasciatus",3,7,2.33333333333333
"150",1,2014,"2014-10-12",10,"Cx. quinquefasciatus",3,9,3
"151",1,2014,"2014-10-19",10,"Cx. quinquefasciatus",3,12,4
"152",1,2014,"2014-10-26",10,"Cx. quinquefasciatus",3,11,3.66666666666667
"153",1,2014,"2014-11-02",11,"Cx. quinquefasciatus",3,1,0.333333333333333
"154",1,2015,"2015-04-12",4,"Cx. quinquefasciatus",3,0,0
"155",1,2015,"2015-04-19",4,"Cx. quinquefasciatus",3,1,0.333333333333333
"156",1,2015,"2015-04-26",4,"Cx. quinquefasciatus",3,0,0
"157",1,2015,"2015-05-03",5,"Cx. quinquefasciatus",3,1,0.333333333333333
"158",1,2015,"2015-05-10",5,"Cx. quinquefasciatus",3,0,0
"159",1,2015,"2015-05-17",5,"Cx. quinquefasciatus",3,4,1.33333333333333
"160",1,2015,"2015-05-24",5,"Cx. quinquefasciatus",3,1,0.333333333333333
"161",1,2015,"2015-05-31",5,"Cx. quinquefasciatus",3,2,0.666666666666667
"162",1,2015,"2015-06-07",6,"Cx. quinquefasciatus",3,8,2.66666666666667
"163",1,2015,"2015-06-14",6,"Cx. quinquefasciatus",3,1,0.333333333333333
"164",1,2015,"2015-06-21",6,"Cx. quinquefasciatus",3,1,0.333333333333333
"165",1,2015,"2015-06-28",6,"Cx. quinquefasciatus",3,0,0
"166",1,2015,"2015-07-05",7,"Cx. quinquefasciatus",3,5,1.66666666666667
"167",1,2015,"2015-07-12",7,"Cx. quinquefasciatus",3,24,8
"168",1,2015,"2015-07-19",7,"Cx. quinquefasciatus",3,16,5.33333333333333
"169",1,2015,"2015-07-26",7,"Cx. quinquefasciatus",3,39,13
"170",1,2015,"2015-08-02",8,"Cx. quinquefasciatus",3,6,2
"171",1,2015,"2015-08-09",8,"Cx. quinquefasciatus",3,4,1.33333333333333
"172",1,2015,"2015-08-16",8,"Cx. quinquefasciatus",3,1,0.333333333333333
"173",1,2015,"2015-08-23",8,"Cx. quinquefasciatus",3,0,0
"174",1,2015,"2015-08-30",8,"Cx. quinquefasciatus",3,0,0
"175",1,2015,"2015-09-06",9,"Cx. quinquefasciatus",3,0,0
"176",1,2015,"2015-09-13",9,"Cx. quinquefasciatus",3,19,6.33333333333333
"177",1,2015,"2015-09-20",9,"Cx. quinquefasciatus",3,4,1.33333333333333
"178",1,2015,"2015-09-27",9,"Cx. quinquefasciatus",3,18,6
"179",1,2015,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"180",1,2015,"2015-10-11",10,"Cx. quinquefasciatus",3,10,3.33333333333333
"181",1,2015,"2015-10-18",10,"Cx. quinquefasciatus",3,0,0
"182",1,2015,"2015-10-25",10,"Cx. quinquefasciatus",3,4,1.33333333333333
"183",1,2015,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"184",1,2015,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"185",1,2015,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"186",1,2015,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"187",1,2015,NA,NA,"Cx. quinquefasciatus",NA,0,0
"188",1,2016,"2016-04-17",4,"Cx. quinquefasciatus",3,0,0
"189",1,2016,"2016-04-24",4,"Cx. quinquefasciatus",3,0,0
"190",1,2016,"2016-05-01",5,"Cx. quinquefasciatus",3,1,0.333333333333333
"191",1,2016,"2016-05-08",5,"Cx. quinquefasciatus",3,5,1.66666666666667
"192",1,2016,"2016-05-15",5,"Cx. quinquefasciatus",3,0,0
"193",1,2016,"2016-05-22",5,"Cx. quinquefasciatus",3,0,0
"194",1,2016,"2016-05-29",5,"Cx. quinquefasciatus",3,1,0.333333333333333
"195",1,2016,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"196",1,2016,"2016-06-12",6,"Cx. quinquefasciatus",3,17,5.66666666666667
"197",1,2016,"2016-06-19",6,"Cx. quinquefasciatus",3,13,4.33333333333333
"198",1,2016,"2016-06-26",6,"Cx. quinquefasciatus",3,0,0
"199",1,2016,"2016-07-03",7,"Cx. quinquefasciatus",3,1,0.333333333333333
"200",1,2016,"2016-07-10",7,"Cx. quinquefasciatus",3,66,22
"201",1,2016,"2016-07-17",7,"Cx. quinquefasciatus",3,58,19.3333333333333
"202",1,2016,"2016-07-24",7,"Cx. quinquefasciatus",3,85,28.3333333333333
"203",1,2016,"2016-07-31",7,"Cx. quinquefasciatus",3,5,1.66666666666667
"204",1,2016,"2016-08-07",8,"Cx. quinquefasciatus",3,2,0.666666666666667
"205",1,2016,"2016-08-14",8,"Cx. quinquefasciatus",3,4,1.33333333333333
"206",1,2016,"2016-08-21",8,"Cx. quinquefasciatus",3,9,3
"207",1,2016,"2016-08-28",8,"Cx. quinquefasciatus",3,16,5.33333333333333
"208",1,2016,"2016-09-04",9,"Cx. quinquefasciatus",3,10,3.33333333333333
"209",1,2016,"2016-09-11",9,"Cx. quinquefasciatus",3,4,1.33333333333333
"210",1,2016,"2016-09-18",9,"Cx. quinquefasciatus",3,4,1.33333333333333
"211",1,2016,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"212",1,2016,"2016-10-02",10,"Cx. quinquefasciatus",3,2,0.666666666666667
"213",1,2016,"2016-10-09",10,"Cx. quinquefasciatus",3,3,1
"214",1,2016,"2016-10-16",10,"Cx. quinquefasciatus",3,0,0
"215",1,2016,"2016-10-23",10,"Cx. quinquefasciatus",3,3,1
"216",1,2017,NA,NA,"Cx. quinquefasciatus",NA,0,0
"217",1,2017,"2017-04-09",4,"Cx. quinquefasciatus",3,1,0.333333333333333
"218",1,2017,"2017-04-16",4,"Cx. quinquefasciatus",3,2,0.666666666666667
"219",1,2017,"2017-04-23",4,"Cx. quinquefasciatus",3,1,0.333333333333333
"220",1,2017,"2017-04-30",4,"Cx. quinquefasciatus",3,7,2.33333333333333
"221",1,2017,"2017-05-07",5,"Cx. quinquefasciatus",3,5,1.66666666666667
"222",1,2017,"2017-05-14",5,"Cx. quinquefasciatus",3,18,6
"223",1,2017,"2017-05-21",5,"Cx. quinquefasciatus",3,9,3
"224",1,2017,"2017-05-28",5,"Cx. quinquefasciatus",3,9,3
"225",1,2017,"2017-06-04",6,"Cx. quinquefasciatus",3,6,2
"226",1,2017,"2017-06-11",6,"Cx. quinquefasciatus",3,9,3
"227",1,2017,"2017-06-18",6,"Cx. quinquefasciatus",3,21,7
"228",1,2017,"2017-06-25",6,"Cx. quinquefasciatus",3,24,8
"229",1,2017,"2017-07-02",7,"Cx. quinquefasciatus",3,272,90.6666666666667
"230",1,2017,"2017-07-09",7,"Cx. quinquefasciatus",3,80,26.6666666666667
"231",1,2017,"2017-07-16",7,"Cx. quinquefasciatus",3,27,9
"232",1,2017,"2017-07-23",7,"Cx. quinquefasciatus",3,121,40.3333333333333
"233",1,2017,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"234",1,2017,"2017-08-06",8,"Cx. quinquefasciatus",3,24,8
"235",1,2017,"2017-08-13",8,"Cx. quinquefasciatus",3,17,5.66666666666667
"236",1,2017,"2017-08-20",8,"Cx. quinquefasciatus",3,48,16
"237",1,2017,"2017-08-27",8,"Cx. quinquefasciatus",3,67,22.3333333333333
"238",1,2017,"2017-09-03",9,"Cx. quinquefasciatus",3,15,5
"239",1,2017,"2017-09-10",9,"Cx. quinquefasciatus",3,53,17.6666666666667
"240",1,2017,"2017-09-17",9,"Cx. quinquefasciatus",3,20,6.66666666666667
"241",1,2017,"2017-09-24",9,"Cx. quinquefasciatus",3,0,0
"242",1,2017,"2017-10-01",10,"Cx. quinquefasciatus",3,7,2.33333333333333
"243",1,2017,"2017-10-08",10,"Cx. quinquefasciatus",3,1,0.333333333333333
"244",1,2017,"2017-10-15",10,"Cx. quinquefasciatus",3,1,0.333333333333333
"245",1,2017,"2017-10-22",10,"Cx. quinquefasciatus",3,16,5.33333333333333
"246",1,2017,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"247",1,2017,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"248",1,2017,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"249",1,2017,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"250",1,2017,NA,NA,"Cx. quinquefasciatus",NA,0,0
"251",1,2018,"2018-04-15",4,"Cx. quinquefasciatus",6,4,0.666666666666667
"252",1,2018,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"253",1,2018,"2018-04-29",4,"Cx. quinquefasciatus",6,2,0.333333333333333
"254",1,2018,"2018-05-06",5,"Cx. quinquefasciatus",6,2,0.333333333333333
"255",1,2018,"2018-05-13",5,"Cx. quinquefasciatus",6,14,2.33333333333333
"256",1,2018,"2018-05-20",5,"Cx. quinquefasciatus",6,14,2.33333333333333
"257",1,2018,"2018-05-27",5,"Cx. quinquefasciatus",6,20,3.33333333333333
"258",1,2018,"2018-06-03",6,"Cx. quinquefasciatus",6,14,2.33333333333333
"259",1,2018,"2018-06-10",6,"Cx. quinquefasciatus",6,4,0.666666666666667
"260",1,2018,"2018-06-17",6,"Cx. quinquefasciatus",6,36,6
"261",1,2018,"2018-06-24",6,"Cx. quinquefasciatus",6,4,0.666666666666667
"262",1,2018,"2018-07-01",7,"Cx. quinquefasciatus",6,16,2.66666666666667
"263",1,2018,"2018-07-08",7,"Cx. quinquefasciatus",6,40,6.66666666666667
"264",1,2018,"2018-07-15",7,"Cx. quinquefasciatus",6,12,2
"265",1,2018,"2018-07-22",7,"Cx. quinquefasciatus",6,30,5
"266",1,2018,"2018-07-29",7,"Cx. quinquefasciatus",6,162,27
"267",1,2018,"2018-08-05",8,"Cx. quinquefasciatus",6,98,16.3333333333333
"268",1,2018,"2018-08-12",8,"Cx. quinquefasciatus",6,264,44
"269",1,2018,"2018-08-19",8,"Cx. quinquefasciatus",6,312,52
"270",1,2018,"2018-08-26",8,"Cx. quinquefasciatus",6,288,48
"271",1,2018,"2018-09-02",9,"Cx. quinquefasciatus",6,54,9
"272",1,2018,"2018-09-09",9,"Cx. quinquefasciatus",6,168,28
"273",1,2018,"2018-09-16",9,"Cx. quinquefasciatus",6,24,4
"274",1,2018,"2018-09-23",9,"Cx. quinquefasciatus",6,64,10.6666666666667
"275",1,2018,"2018-09-30",9,"Cx. quinquefasciatus",6,206,34.3333333333333
"276",1,2018,"2018-10-07",10,"Cx. quinquefasciatus",6,56,9.33333333333333
"277",1,2018,"2018-10-14",10,"Cx. quinquefasciatus",6,0,0
"278",1,2018,"2018-10-21",10,"Cx. quinquefasciatus",6,8,1.33333333333333
"279",1,2018,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"280",1,2018,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"281",1,2018,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"282",1,2018,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"283",1,2018,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"284",1,2018,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"285",1,2018,NA,NA,"Cx. quinquefasciatus",NA,0,0
"286",1,2019,"2019-04-14",4,"Cx. quinquefasciatus",6,0,0
"287",1,2019,"2019-04-21",4,"Cx. quinquefasciatus",6,4,0.666666666666667
"288",1,2019,"2019-04-28",4,"Cx. quinquefasciatus",6,2,0.333333333333333
"289",1,2019,"2019-05-05",5,"Cx. quinquefasciatus",6,14,2.33333333333333
"290",1,2019,"2019-05-12",5,"Cx. quinquefasciatus",6,0,0
"291",1,2019,"2019-05-19",5,"Cx. quinquefasciatus",6,54,9
"292",1,2019,"2019-05-26",5,"Cx. quinquefasciatus",6,12,2
"293",1,2019,"2019-06-02",6,"Cx. quinquefasciatus",6,0,0
"294",1,2019,"2019-06-09",6,"Cx. quinquefasciatus",6,16,2.66666666666667
"295",1,2019,"2019-06-16",6,"Cx. quinquefasciatus",6,48,8
"296",1,2019,"2019-06-23",6,"Cx. quinquefasciatus",6,54,9
"297",1,2019,"2019-06-30",6,"Cx. quinquefasciatus",6,8,1.33333333333333
"298",1,2019,"2019-07-07",7,"Cx. quinquefasciatus",6,288,48
"299",1,2019,"2019-07-14",7,"Cx. quinquefasciatus",6,160,26.6666666666667
"300",1,2019,"2019-07-21",7,"Cx. quinquefasciatus",6,112,18.6666666666667
"301",1,2019,"2019-07-28",7,"Cx. quinquefasciatus",6,88,14.6666666666667
"302",1,2019,"2019-08-04",8,"Cx. quinquefasciatus",6,26,4.33333333333333
"303",1,2019,"2019-08-11",8,"Cx. quinquefasciatus",6,136,22.6666666666667
"304",1,2019,"2019-08-18",8,"Cx. quinquefasciatus",6,20,3.33333333333333
"305",1,2019,"2019-08-25",8,"Cx. quinquefasciatus",6,50,8.33333333333333
"306",1,2019,"2019-09-01",9,"Cx. quinquefasciatus",6,46,7.66666666666667
"307",1,2019,"2019-09-08",9,"Cx. quinquefasciatus",6,162,27
"308",1,2019,"2019-09-15",9,"Cx. quinquefasciatus",6,86,14.3333333333333
"309",1,2019,"2019-09-22",9,"Cx. quinquefasciatus",6,68,11.3333333333333
"310",1,2019,"2019-09-29",9,"Cx. quinquefasciatus",6,8,1.33333333333333
"311",1,2019,"2019-10-06",10,"Cx. quinquefasciatus",6,84,14
"312",1,2019,"2019-10-13",10,"Cx. quinquefasciatus",6,6,1
"313",1,2019,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"314",1,2019,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"315",1,2019,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"316",1,2019,NA,NA,"Cx. quinquefasciatus",NA,0,0
"317",1,2020,NA,NA,"Cx. quinquefasciatus",NA,0,0
"318",1,2020,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"319",1,2020,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"320",1,2020,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"321",1,2020,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"322",1,2020,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"323",1,2020,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"324",1,2020,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"325",1,2020,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"326",1,2020,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"327",1,2020,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"328",1,2020,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"329",1,2020,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"330",1,2020,NA,NA,"Cx. quinquefasciatus",NA,NA,NA
"331",1,2020,"2020-04-19",4,"Cx. quinquefasciatus",6,0,0
"332",1,2020,"2020-04-26",4,"Cx. quinquefasciatus",6,28,4.66666666666667
"333",1,2020,"2020-05-03",5,"Cx. quinquefasciatus",6,2,0.333333333333333
"334",1,2020,"2020-05-10",5,"Cx. quinquefasciatus",6,0,0
"335",1,2020,"2020-05-17",5,"Cx. quinquefasciatus",6,8,1.33333333333333
"336",1,2020,"2020-05-24",5,"Cx. quinquefasciatus",6,30,5
"337",1,2020,"2020-05-31",5,"Cx. quinquefasciatus",6,20,3.33333333333333
"338",1,2020,"2020-06-07",6,"Cx. quinquefasciatus",6,10,1.66666666666667
"339",1,2020,"2020-06-14",6,"Cx. quinquefasciatus",6,16,2.66666666666667
"340",1,2020,"2020-06-21",6,"Cx. quinquefasciatus",6,80,13.3333333333333
"341",1,2020,"2020-06-28",6,"Cx. quinquefasciatus",6,84,14
